,title,release_date,production_budget,domestic_gross,worldwide_gross,genre,story_source,creative_type,production_method,production_company,MPAA_Rating,runtime,opening_theater_count,max_theater_count,avg_run_per_theater,actors,directors
5217,"Food, Inc.","Jun 12, 2009","$1,000,000","$4,417,674","$4,731,944",Documentary,Based on Real Life Events,Factual,Live Action,Participant Media,PG,94 minutes,3,3,8.8 weeks,,
5218,An Inconvenient Sequel,"Jul 28, 2017","$1,000,000","$3,496,795","$5,839,322",Documentary,Based on Real Life Events,Factual,Live Action,,PG,98 minutes,4,4,2.6 weeks,,Bonni Cohen | Jon Shenk
5219,Next Stop Wonderland,"Aug 21, 1998","$1,000,000","$3,395,581","$3,465,703",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,301-2,400)",104 minutes,8,8,5.5 weeks,,
5220,Obvious Child,"Jun 6, 2014","$1,000,000","$3,122,616","$3,324,070",Romantic Comedy,Based on Short Film,Contemporary Fiction,Live Action,Rooks Nest Entertainment,"All Time Domestic Box Office for R Movies (Rank 2,301-2,400)",83 minutes,3,3,4.6 weeks,Jenny Slate,Gillian Robespierre
5221,Martha Marcy May Marlene,"Oct 21, 2011","$1,000,000","$2,981,038","$5,438,911",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,BorderLine Films,"All Time Domestic Box Office for R Movies (Rank 2,401-2,500)",101 minutes,4,4,4.9 weeks,Elizabeth Olsen,Sean Durkin
5222,Junebug,"Aug 3, 2005","$1,000,000","$2,678,010","$3,553,253",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,401-2,500)",,7,7,6.9 weeks,,
5223,Frozen River,"Aug 1, 2008","$1,000,000","$2,511,476","$6,030,129",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,401-2,500)",97 minutes,7,7,9.5 weeks,,
5224,Sidewalks of New York,"Nov 21, 2001","$1,000,000","$2,402,459","$3,575,308","All Time Domestic Box Office for Comedy Movies (Rank 1,501-1,600)",Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,501-2,600)",108 minutes,99,99,4.2 weeks,,
5225,Two Girls and a Guy,"Apr 24, 1998","$1,000,000","$2,057,193","$2,315,026",Drama,Original Screenplay,Contemporary Fiction,Live Action,Fox Searchlight Pictures,"All Time Domestic Box Office for R Movies (Rank 2,501-2,600)",92 minutes,316,316,2.9 weeks,"Robert Downey, Jr. | Heather Graham | Natasha Gregson Wagner",James Toback
5226,The Broken Hearts Club: A Romantic Comedy,"Sep 29, 2000","$1,000,000","$1,744,858","$2,022,442","All Time Domestic Box Office for Comedy Movies (Rank 1,601-1,700)",Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,601-2,700)",,7,7,7.8 weeks,,
5227,Who Killed the Electric Car?,"Jun 28, 2006","$1,000,000","$1,678,874","$1,849,392",Documentary,Based on Real Life Events,Factual,Live Action,,PG,,8,8,10.1 weeks,,
5228,The Secrets of Jonathan Sperry,"Sep 18, 2009","$1,000,000","$1,355,079","$1,355,079",Drama,Original Screenplay,Historical Fiction,Live Action,,PG,96 minutes,0,0,0,,
5229,Walking and Talking,"Jul 17, 1996","$1,000,000","$1,287,480","$1,615,787",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,801-2,900)",,5,5,5.4 weeks,,
5230,Bubba Ho-Tep,"Sep 19, 2003","$1,000,000","$1,239,183","$1,492,895","All Time Domestic Box Office for Comedy Movies (Rank 1,601-1,700)",Based on Fiction Book/Short Story,Fantasy,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,801-2,900)",,2,2,5.8 weeks,,
5231,No Man's Land,"Dec 7, 2001","$1,000,000","$1,067,481","$2,684,207",Drama,Original Screenplay,Historical Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,901-3,000)",,2,2,13.2 weeks,,
5232,Slam,"Oct 9, 1998","$1,000,000","$1,009,819","$1,087,521",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,901-3,000)",,0,0,0,,
5233,Visages villages,"Jun 30, 2017","$1,000,000","$952,432","$4,015,686",Documentary,Original Screenplay,Factual,Live Action,Cine Tamaris,PG,89 minutes,5,5,9.9 weeks,,AgnÃ¨s Varda | J.R.
5234,Brigham City,"Apr 6, 2001","$1,000,000","$852,206","$852,206",Thriller/Suspense,Original Screenplay,,Live Action,,PG-13,,51,51,6.6 weeks,,
5235,Patti Cake$,"Aug 18, 2017","$1,000,000","$800,148","$1,471,090","All Time Domestic Box Office for Comedy Movies (Rank 1,701-1,800)",Original Screenplay,Contemporary Fiction,Live Action,TSG Entertainment,"All Time Domestic Box Office for R Movies (Rank 3,001-3,100)",109 minutes,14,14,2.1 weeks,Danielle Macdonald,Geremy Jasper
5236,Panic,"Dec 1, 2000","$1,000,000","$779,137","$1,425,707",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,001-3,100)",,4,4,10.1 weeks,,
5237,Palo Alto,"May 9, 2014","$1,000,000","$767,732","$1,156,309",Drama,Original Screenplay,Contemporary Fiction,Live Action,James Franco,"All Time Domestic Box Office for R Movies (Rank 3,001-3,100)",98 minutes,4,4,3.8 weeks,Emma Roberts | Jack Kilmer | Chris Messina,Gia Coppola
5238,Fiza,"Sep 8, 2000","$1,000,000","$623,791","$1,179,462",Drama,Original Screenplay,Contemporary Fiction,Live Action,,Not Rated,,39,39,1.4 weeks,,
5239,Ajami,"Feb 3, 2010","$1,000,000","$621,859","$2,721,096",Drama,,,,,Not Rated,,3,3,9.9 weeks,,
5240,Orgazmo,"Oct 23, 1998","$1,000,000","$582,024","$627,287","All Time Domestic Box Office for Comedy Movies (Rank 1,801-1,900)",Original Screenplay,Contemporary Fiction,Live Action,,NC-17,93 minutes,94,94,3.1 weeks,,
5241,The Future,"Jul 29, 2011","$1,000,000","$568,662","$1,239,174",Drama,Original Screenplay,Science Fiction,Live Action,Razor Films,"All Time Domestic Box Office for R Movies (Rank 3,201-3,300)",91 minutes,1,1,8.7 weeks,Miranda July,Miranda July
5242,All the Real Girls,"Feb 14, 2003","$1,000,000","$549,666","$703,020",Drama,Original Screenplay,,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,201-3,300)",,7,7,10.3 weeks,,
5243,23 Blast,"Oct 24, 2014","$1,000,000","$549,185","$549,185",Drama,Based on Real Life Events,Dramatization,Live Action,Ocean Avenue Entertainment,PG-13,98 minutes,617,617,1.2 weeks,Mark Hapka,Dylan Baker
5244,Dream With The Fishes,"Jun 20, 1997","$1,000,000","$542,909","$542,909",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,201-3,300)",,7,7,5.3 weeks,,
5245,The Act of Killing,"Apr 10, 2013","$1,000,000","$486,919","$1,227,316",Documentary,Based on Real Life Events,Factual,Live Action,Final Cut For Real,Not Rated,115 minutes,1,1,7.5 weeks,,Joshua Oppenheimer
5246,Blue Car,"May 2, 2003","$1,000,000","$464,126","$475,367",Drama,Original Screenplay,,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,301-3,400)",,6,6,6.3 weeks,,
5247,Wristcutters: A Love Story,"Oct 19, 2007","$1,000,000","$446,165","$473,769","All Time Domestic Box Office for Comedy Movies (Rank 1,801-1,900)",Based on Fiction Book/Short Story,Fantasy,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,301-3,400)",,3,3,1.7 weeks,,
5248,Luminarias,"May 5, 2000","$1,000,000","$428,535","$428,535","All Time Domestic Box Office for Comedy Movies (Rank 1,801-1,900)",,,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,301-3,400)",,51,51,4.8 weeks,,
5249,I Origins,"Jul 18, 2014","$1,000,000","$336,472","$852,399",Drama,Original Screenplay,Science Fiction,Live Action,Verisimilitude,"All Time Domestic Box Office for R Movies (Rank 3,401-3,500)",107 minutes,4,4,2.5 weeks,,Mike Cahill
5250,Antarctica: A Year on Ice,"Nov 28, 2014","$1,000,000","$288,757","$288,757",Documentary,Based on Real Life Events,Factual,Live Action,,PG,,8,8,3.8 weeks,,Anthony Powell
5251,The Battle of Shaker Heights,"Aug 22, 2003","$1,000,000","$280,351","$839,145","All Time Domestic Box Office for Comedy Movies (Rank 1,901-2,000)",Original Screenplay,,Live Action,,PG-13,,5,5,2.8 weeks,,
5252,Taxi to the Dark Side,"Jan 18, 2008","$1,000,000","$274,661","$304,472",Documentary,Based on Real Life Events,Factual,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,501-3,600)",,2,2,10.5 weeks,,
5253,The Invitation,"Apr 8, 2016","$1,000,000","$231,738","$354,836",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,XYZ Films,Not Rated,99 minutes,10,10,3.3 weeks,Logan Marshall-Green | Tammy Blanchard | Michiel Huisman,Karyn Kusama
5254,Guiana 1838,"Sep 24, 2004","$1,000,000","$227,241","$227,241",Drama,Based on Real Life Events,Dramatization,Live Action,,Not Rated,,1,1,2.3 weeks,,
5255,Love Liza,"Dec 30, 2002","$1,000,000","$213,137","$213,137",Drama,,,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,601-3,700)",,4,4,9.1 weeks,,
5256,Once in a Lifetime: the Extraordinary Story of …,"Jul 7, 2006","$1,000,000","$144,601","$215,559",Documentary,Based on Real Life Events,Factual,Live Action,,PG-13,,1,1,4.9 weeks,,
5257,Lisa Picard is Famous,"Aug 22, 2001","$1,000,000","$113,433","$113,433","All Time Domestic Box Office for Comedy Movies (Rank 2,101-2,200)",,,Live Action,,PG-13,,1,1,4.1 weeks,,
5258,Beyond the Brick: A LEGO Brickumentary,"Jul 31, 2015","$1,000,000","$101,531","$101,531",Documentary,Based on Real Life Events,Factual,Live Action,Gem Pictures,G,95 minutes,93,93,1.4 weeks,,Kief Davidson | Daniel Junge
5259,The House of the Devil,"Oct 30, 2009","$1,000,000","$101,215","$102,812",Horror,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 4,001-4,100)",95 minutes,3,3,6.1 weeks,,
5260,Hardflip,"Jun 1, 2012","$1,000,000","$96,734","$96,734",Drama,Original Screenplay,Contemporary Fiction,Live Action,Digital Filmz International,PG-13,,22,22,1.6 weeks,Randy Wayne | John Schneider | Rosanna Arquette,Johnny Remo
5261,Creative Control,"Mar 11, 2016","$1,000,000","$63,014","$63,014",Drama,Original Screenplay,Science Fiction,Live Action,Amazon Studios,"All Time Domestic Box Office for R Movies (Rank 4,101-4,200)",97 minutes,3,3,1.5 weeks,Benjamin Dickinson,Benjamin Dickinson
5262,Chocolate: Deep Dark Secrets,"Sep 16, 2005","$1,000,000","$49,000","$1,549,000",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,,Not Rated,,20,20,2.0 weeks,,
5263,The Perfect Host,"Jul 1, 2011","$1,000,000","$48,764","$51,587",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,Stacey Testro International,"All Time Domestic Box Office for R Movies (Rank 4,201-4,300)",93 minutes,2,2,3.8 weeks,David Hyde Pierce | Clayne Crawford,Nick Tomnay
5264,The Land,"Jul 29, 2016","$1,000,000","$43,756","$43,756",Drama,Original Screenplay,Contemporary Fiction,Live Action,IFC Films,"All Time Domestic Box Office for R Movies (Rank 4,301-4,400)",104 minutes,2,2,0.3 weeks,Jorge Lendeborg Jr | Moises Arias | Rafi Gavron | Ezri Walker,Steven Caple Jr
5265,The Last Big Thing,"Sep 25, 1998","$1,000,000","$22,434","$22,434",Genre Tracking,,,,,"All Time Domestic Box Office for R Movies (Rank 4,501-4,600)",,0,0,0,,
5266,Safe Men,"Aug 7, 1998","$1,000,000","$21,210","$21,210",Genre Tracking,,,,,"All Time Domestic Box Office for R Movies (Rank 4,501-4,600)",,20,20,1.0 weeks,,
5267,Speedway Junky,"Aug 31, 2001","$1,000,000","$17,127","$17,127",Genre Tracking,,,,,"All Time Domestic Box Office for R Movies (Rank 4,601-4,700)",,1,1,5.0 weeks,,
5268,Hits,"Feb 13, 2015","$1,000,000","$15,156","$15,156","All Time Domestic Box Office for Comedy Movies (Rank 2,401-2,500)",Original Screenplay,Contemporary Fiction,Live Action,Honora,Not Rated,96 minutes,2,2,1.0 weeks,Meredith Hagner,David Cross
5269,The Specials,"Sep 22, 2000","$1,000,000","$12,996","$12,996",Genre Tracking,,All Time Domestic Box Office for Super Hero Movies (Rank 101-200),,,"All Time Domestic Box Office for R Movies (Rank 4,701-4,800)",,2,2,2.0 weeks,,
5270,16 to Life,"Sep 3, 2010","$1,000,000","$11,574","$11,574",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,Waterdog Films,Not Rated,100 minutes,2,2,1.9 weeks,Hallee Hirsh | Mandy Musgrave,Becky Smith
5271,Alone with Her,"Jan 17, 2007","$1,000,000","$10,787","$844,377",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,,Not Rated,,1,1,2.5 weeks,,
5272,Camp X-Ray,"Oct 17, 2014","$1,000,000","$9,837","$101,053",Drama,Original Screenplay,Contemporary Fiction,Live Action,IFC Films,"All Time Domestic Box Office for R Movies (Rank 4,801-4,900)",118 minutes,1,1,2.0 weeks,Kristen Stewart,Peter Sattler
5273,Special,"Nov 21, 2008","$1,000,000","$7,202","$26,822",Drama,Original Screenplay,Fantasy,Live Action,,"All Time Domestic Box Office for R Movies (Rank 4,801-4,900)",,1,1,2.0 weeks,,
5274,The Sisterhood of Night,"Apr 10, 2015","$1,000,000","$6,870","$6,870",Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Cine Mosaic,PG-13,102 minutes,10,10,1.0 weeks,Georgie Henley | Kara Hayward | Laura Fraser | Willa Cuthrell*,Caryn Waechter
5275,Sparkler,"Mar 19, 1999","$1,000,000","$5,494","$5,494",Genre Tracking,,,,,"All Time Domestic Box Office for R Movies (Rank 4,901-5,000)",,1,1,1.5 weeks,,
5276,The Helixâ¦Loaded,"Mar 18, 2005","$1,000,000","$3,700","$3,700","All Time Domestic Box Office for Comedy Movies (Rank 2,601-2,700)",Original Screenplay,Science Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 5,001-5,100)",97 minutes,0,0,0,,
5277,Childless,"May 15, 2015","$1,000,000","$1,036","$1,036",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 5,101-5,200)",,0,0,0,,Charlie Levi
5278,In Her Line of Fire,"Apr 21, 2006","$1,000,000",$884,$884,Action,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 5,101-5,200)",,2,2,1.5 weeks,,
5279,The Jimmy Show,"Dec 13, 2002","$1,000,000",$703,$703,Genre Tracking,,,,,"All Time Domestic Box Office for R Movies (Rank 5,201-5,300)",,1,1,1.0 weeks,,
5280,Heli,"Nov 22, 2013","$1,000,000",$0,"$552,614",Drama,Original Screenplay,Contemporary Fiction,Live Action,,,,0,0,0,,
5281,American Hero,"Dec 11, 2015","$1,000,000",$0,"$107,590",Action,Original Screenplay,Science Fiction,Live Action,Vertigo Films,Not Rated,86 minutes,0,0,0,Stephen Dorff | Eddie Griffin,Nick Love
5282,Karachi se Lahore,"Aug 14, 2015","$1,000,000",$0,"$17,721","All Time International Box Office for Comedy Movies (Rank 2,601-2,700)",Original Screenplay,Contemporary Fiction,Live Action,,,,0,0,0,,
5283,Frat Party,"Dec 1, 2009","$1,000,000",$0,$0,Genre Tracking,,,,,R,,0,0,0,,
5284,Jimmy and Judy,"Sep 15, 2006","$1,000,000",$0,$0,Action,Original Screenplay,Contemporary Fiction,Live Action,,R,,0,0,0,,
5285,The Party's Over,"Oct 24, 2003","$1,000,000",$0,$0,Documentary,,,,,,90 minutes,0,0,0,,
5286,The Poker House,"Jul 17, 2009","$1,000,000",$0,$0,Drama,Original Screenplay,Historical Fiction,Live Action,,R,,0,0,0,Selma Blair | David Alan Grier | Jennifer Lawrence,Lori Petty
5287,Proud,"Sep 23, 2005","$1,000,000",$0,$0,Drama,Based on Real Life Events,Dramatization,Live Action,,PG,,0,0,0,,
5288,Zombies of Mass Destruction,"Jan 29, 2010","$1,000,000",$0,$0,Comedy,,,Live Action,,R,,0,0,0,,
5289,Snow White: A Deadly Summer,"Mar 20, 2012","$1,000,000",$0,$0,Horror,Original Screenplay,Contemporary Fiction,Live Action,,PG-13,90 minutes,0,0,0,,
5290,Truth or Die,"Oct 9, 2012","$1,000,000",$0,$0,Horror,Original Screenplay,Contemporary Fiction,Live Action,,Not Rated,,0,0,0,,
5291,Black Rock,"May 14, 2013","$1,000,000",$0,$0,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,Black Rock,R,80 minutes,0,0,0,Katie Aselton | Lake Bell | Kate Bosworth,Katie Aselton
5292,Hidden Away,"Jan 7, 2014","$1,000,000",$0,$0,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,,PG-13,,0,0,0,,
5293,My Last Day Without You,"Oct 4, 2013","$1,000,000",$0,$0,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,Cicala Filmworks,Not Rated,90 minutes,0,0,0,Ken Duken | Nicole Beharie,Stefan C. Schaefer
5294,Zombie Hunter,"Oct 8, 2013","$1,000,000",$0,$0,Action,Based on Real Life Events,Fantasy,Live Action,,,93 minutes,0,0,0,,
5295,A Fine Step,"Jun 24, 2014","$1,000,000",$0,$0,Drama,Original Screenplay,Contemporary Fiction,Live Action,,PG,,0,0,0,,
5296,Fear Clinic,"Feb 10, 2015","$1,000,000",$0,$0,Horror,Original Screenplay,Science Fiction,Live Action,,R,95 minutes,0,0,0,,
5297,The Pet,"Mar 10, 2015","$1,000,000",$0,$0,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,,Not Rated,94 minutes,0,0,0,,
5298,Hush,"Apr 8, 2016","$1,000,000",$0,$0,Horror,Original Screenplay,Contemporary Fiction,Live Action,Blumhouse,R,87 minutes,0,0,0,,
5299,1982,"Mar 1, 2016","$1,000,000",$0,$0,Drama,Original Screenplay,Historical Fiction,Live Action,,R,,0,0,0,,
5300,The Horror Network,"Oct 27, 2015","$1,000,000",$0,$0,Horror,Compilation,Multiple Creative Types,Live Action,,Not Rated,,0,0,0,,
5301,Chemical Cut,"Jul 5, 2016","$1,000,000",$0,$0,Drama,Original Screenplay,Contemporary Fiction,Live Action,,Not Rated,83 minutes,0,0,0,Marjorie Conrad,Marjorie Conrad
5302,Por amor en el caserio,"Dec 22, 2015","$1,000,000",$0,$0,Action,Original Screenplay,Contemporary Fiction,Live Action,,,,0,0,0,,
5303,Cam,"Nov 16, 2018","$1,000,000",$0,$0,Horror,Original Screenplay,Contemporary Fiction,Live Action,Blumhouse,,94 minutes,0,0,0,Madeline Brewer,Danny Goldhaber
5304,Alien Psychosis,"Feb 27, 2018","$1,000,000",$0,$0,Horror,Original Screenplay,Science Fiction,Live Action,,,73 minutes,0,0,0,,
5305,And Then Came Love,"Jun 1, 2007","$989,000","$8,158","$8,158","All Time Domestic Box Office for Comedy Movies (Rank 2,501-2,600)",,,Live Action,,Not Rated,,1,1,1.0 weeks,,
5306,Hard Candy,"Apr 14, 2006","$950,000","$1,024,640","$8,267,066",Horror,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,901-3,000)",,2,2,2.9 weeks,,
5307,Charly,"Sep 27, 2002","$950,000","$814,666","$814,666","All Time Domestic Box Office for Comedy Movies (Rank 1,701-1,800)",Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,,PG,103 minutes,36,36,11.9 weeks,,
5308,Banshee Chapter,"Jan 10, 2014","$950,000",$0,"$78,122",Thriller/Suspense,Original Screenplay,Dramatization,Live Action,Xlrator Media,"All Time International Box Office for R Movies (Rank 2,601-2,700)",87 minutes,0,0,0,Katia Winter | Michael McMillian | Ted Levine,Blair Erickson
5309,Jesse,"Aug 12, 2014","$950,000",$0,$0,Action,Original Screenplay,Contemporary Fiction,Live Action,,R,95 minutes,0,0,0,,
5310,Ask Me Anything,"Mar 3, 2015","$950,000",$0,$0,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,,Not Rated,,0,0,0,,
5311,L!fe Happens,"Apr 13, 2012","$930,000","$30,905","$30,905","All Time Domestic Box Office for Comedy Movies (Rank 2,301-2,400)",Original Screenplay,Contemporary Fiction,Live Action,Dot Dot Dot Productions,"All Time Domestic Box Office for R Movies (Rank 4,401-4,500)",100 minutes,16,16,1.0 weeks,Krysten Ritter | Kate Bosworth | Rachel Bilson | Geoff Stults | Justin Kirk | Kristen Johnston | Fallon Goodson | Rhys Coiro | Jason Biggs,Kat Coiro
5312,Lowriders,"Apr 28, 2017","$916,000","$6,179,955","$6,188,421",Drama,Original Screenplay,Contemporary Fiction,Live Action,Blumhouse,PG-13,99 minutes,295,295,3.6 weeks,DemiÃ¡n Bichir | Gabriel Chavarria | Theo Rossi | Tony Revolori,Ricardo de Montreuil
5313,Food Chains,"Nov 21, 2014","$913,000",$0,$176,Documentary,Based on Real Life Events,Factual,Live Action,Illumine Productions,Not Rated,82 minutes,0,0,0,,Sanjay Rawal
5314,On the Waterfront,"Jul 28, 1954","$910,000","$9,600,000","$9,600,000",Drama,Original Screenplay,Contemporary Fiction,Live Action,,Not Rated,108 minutes,0,0,0,,
5315,Fruitvale Station,"Jul 12, 2013","$900,000","$16,098,998","$17,549,645",Drama,Based on Real Life Events,Contemporary Fiction,Live Action,Significant Productions,"All Time Domestic Box Office for R Movies (Rank 1,301-1,400)",84 minutes,7,7,4.5 weeks,Michael B. Jordan,Ryan Coogler
5316,Meet the Blacks,"Apr 1, 2016","$900,000","$9,097,072","$9,097,072","All Time Domestic Box Office for Comedy Movies (Rank 1,101-1,200)",Original Screenplay,Contemporary Fiction,Live Action,Hidden Empire Film Group,"All Time Domestic Box Office for R Movies (Rank 1,701-1,800)",93 minutes,"1,015","1,015",3.2 weeks,Mike Epps | Zulay Henao | Bresha Webb | Lil Duval | Alex Henderson,Deon Taylor
5317,"4 luni, 3 saptamani si 2 zile","Jan 25, 2008","$900,000","$1,196,321","$11,993,156",Drama,Original Screenplay,Historical Fiction,Live Action,,Not Rated,113 minutes,6,6,10.0 weeks,,
5318,The Miseducation of Cameron Post,"Jul 20, 2018","$900,000","$905,111","$2,019,874",Drama,Original Screenplay,Contemporary Fiction,Live Action,Beachside,Not Rated,91 minutes,2,2,3.4 weeks,ChloÃ« Grace Moretz,Desiree Akhavan
5319,Circumstance,"Aug 26, 2011","$900,000","$454,121","$958,978",Drama,Original Screenplay,Contemporary Fiction,Live Action,Marakesh Films,"All Time Domestic Box Office for R Movies (Rank 3,301-3,400)",107 minutes,7,7,6.2 weeks,Nikohl Boosheri | Sarah Kazemy,Maryam Keshavarz
5320,The Quiet,"Aug 25, 2006","$900,000","$381,420","$381,420",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,301-3,400)",,7,7,1.4 weeks,,
5321,The Giant Mechanical Man,"Apr 27, 2012","$900,000","$7,396","$7,396",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,Votiv Films,PG-13,89 minutes,0,0,0,Jenna Fischer | Chris Messina,Lee Kirk
5322,The Brass Teapot,"Apr 4, 2013","$900,000","$6,997","$413,733",Black Comedy,Original Screenplay,Fantasy,Live Action,Queen Nefertari Productions,"All Time Domestic Box Office for R Movies (Rank 4,901-5,000)",101 minutes,2,2,2.0 weeks,Juno Temple | Michael Angarano,Ramaa Mosley
5323,Le bonheur d'Elza,"May 5, 2015","$900,000",$0,$0,Drama,Original Screenplay,Contemporary Fiction,Live Action,,,78 minutes,0,0,0,,
5324,Bambi,"Aug 13, 1942","$858,000","$102,797,000","$268,000,000",Drama,Based on Fiction Book/Short Story,Kids Fiction,Hand Animation,Walt Disney Animation Studios,G,70 minutes,0,0,0,,
5325,"For a Good Time, Call","Aug 31, 2012","$850,000","$1,251,749","$1,386,088","All Time Domestic Box Office for Comedy Movies (Rank 1,601-1,700)",Original Screenplay,Contemporary Fiction,Live Action,AdScott,"All Time Domestic Box Office for R Movies (Rank 2,801-2,900)",91 minutes,23,23,3.9 weeks,Ari Graynor | Lauren Anne Miller,Jamie Travis
5326,Latter Days,"Jan 30, 2004","$850,000","$833,118","$865,708",Drama,,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,001-3,100)",,0,0,0,,
5327,The Hammer,"Mar 21, 2008","$850,000","$442,638","$442,638","All Time Domestic Box Office for Comedy Movies (Rank 1,801-1,900)",Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,301-3,400)",88 minutes,20,20,4.2 weeks,,
5328,Windsor Drive,"Aug 28, 2015","$850,000","$3,256","$3,256",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,"Absinthe Productions, LLC.",Not Rated,90 minutes,2,2,1.0 weeks,Samaire Armstrong | Tommy O'Reilly | Mandy Musgrave,Natalie Bible
5329,Celeste and Jesse Forever,"Aug 3, 2012","$840,000","$3,103,407","$3,787,689",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,Envision Media,"All Time Domestic Box Office for R Movies (Rank 2,301-2,400)",91 minutes,4,4,2.6 weeks,Rashida Jones | Andy Samberg,Lee Toland Krieger
5330,Time Changer,"Oct 25, 2002","$825,000","$1,500,711","$1,500,711",Drama,Original Screenplay,Fantasy,Live Action,,PG,,169,169,3.0 weeks,,
5331,London to Brighton,"Aug 11, 2009","$825,000",$0,"$610,776",Thriller/Suspense,Based on Short Film,Contemporary Fiction,Live Action,UK Film Council,"All Time International Box Office for R Movies (Rank 2,201-2,300)",85 minutes,0,0,0,,
5332,Billy Jack,"Jan 1, 1971","$800,000","$98,000,000","$98,000,000",Western,Original Screenplay,Contemporary Fiction,Live Action,,GP,112 minutes,0,0,0,,
5333,Jodaeiye Nader az Simin,"Dec 30, 2011","$800,000","$7,098,492","$24,426,169",Drama,Original Screenplay,Contemporary Fiction,Live Action,Asghar Farhadi,PG-13,123 minutes,3,3,7.0 weeks,Leila Hatami | Sareh Bayat | Ali-Asghar Shahbazi,Asghar Farhadi
5334,Welcome to the Dollhouse,"May 10, 1996","$800,000","$4,198,137","$5,034,794","All Time Domestic Box Office for Comedy Movies (Rank 1,301-1,400)",Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,201-2,300)",,0,0,0,,
5335,Raising Victor Vargas,"Mar 28, 2003","$800,000","$2,073,984","$2,900,578",Drama,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 2,501-2,600)",88 minutes,2,2,9.2 weeks,,
5336,Pandora's Box,"Aug 9, 2002","$800,000","$881,950","$881,950",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,001-3,100)",,14,14,6.3 weeks,,
5337,Cama adentro,"Jul 18, 2007","$800,000","$200,433","$200,433",Drama,Original Screenplay,Historical Fiction,Live Action,,Not Rated,,0,0,0,,
5338,Deterrence,"Mar 10, 2000","$800,000","$144,583","$371,647",Thriller/Suspense,,,Live Action,,"All Time Domestic Box Office for R Movies (Rank 3,801-3,900)",,7,7,4.9 weeks,,
5339,The Mudge Boy,"May 7, 2004","$800,000","$62,544","$62,544",Drama,Original Screenplay,Historical Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 4,101-4,200)",,0,0,0,,
